,Fragment_selected,Monoisotopic_mass_fragment,Fragment_collision,Monoisotopic_mass_collision
D[UNIMOD:21]->S[UNIMOD:723],D[UNIMOD:21],194.993271,S[UNIMOD:723],195.029661
D[UNIMOD:21]->S[UNIMOD:726],D[UNIMOD:21],194.993271,S[UNIMOD:726],195.029661
D[UNIMOD:21]->T[UNIMOD:724],D[UNIMOD:21],194.993271,T[UNIMOD:724],195.029661
S[UNIMOD:1868]->S[UNIMOD:723],S[UNIMOD:1868],195.01190300000002,S[UNIMOD:723],195.029661
S[UNIMOD:1868]->S[UNIMOD:726],S[UNIMOD:1868],195.01190300000002,S[UNIMOD:726],195.029661
S[UNIMOD:1868]->T[UNIMOD:724],S[UNIMOD:1868],195.01190300000002,T[UNIMOD:724],195.029661
S[UNIMOD:1868]->Y[UNIMOD:425],S[UNIMOD:1868],195.01190300000002,Y[UNIMOD:425],195.053159
S[UNIMOD:1868]->D[UNIMOD:21],S[UNIMOD:1868],195.01190300000002,D[UNIMOD:21],194.993271
S[UNIMOD:723]->S[UNIMOD:726],S[UNIMOD:723],195.029661,S[UNIMOD:726],195.029661
S[UNIMOD:723]->T[UNIMOD:724],S[UNIMOD:723],195.029661,T[UNIMOD:724],195.029661
S[UNIMOD:723]->Y[UNIMOD:425],S[UNIMOD:723],195.029661,Y[UNIMOD:425],195.053159
S[UNIMOD:723]->S[UNIMOD:1868],S[UNIMOD:723],195.029661,S[UNIMOD:1868],195.01190300000002
S[UNIMOD:723]->D[UNIMOD:21],S[UNIMOD:723],195.029661,D[UNIMOD:21],194.993271
S[UNIMOD:726]->T[UNIMOD:724],S[UNIMOD:726],195.029661,T[UNIMOD:724],195.029661
S[UNIMOD:726]->Y[UNIMOD:425],S[UNIMOD:726],195.029661,Y[UNIMOD:425],195.053159
S[UNIMOD:726]->S[UNIMOD:723],S[UNIMOD:726],195.029661,S[UNIMOD:723],195.029661
S[UNIMOD:726]->S[UNIMOD:1868],S[UNIMOD:726],195.029661,S[UNIMOD:1868],195.01190300000002
S[UNIMOD:726]->D[UNIMOD:21],S[UNIMOD:726],195.029661,D[UNIMOD:21],194.993271
T[UNIMOD:724]->Y[UNIMOD:425],T[UNIMOD:724],195.029661,Y[UNIMOD:425],195.053159
T[UNIMOD:724]->S[UNIMOD:726],T[UNIMOD:724],195.029661,S[UNIMOD:726],195.029661
T[UNIMOD:724]->S[UNIMOD:723],T[UNIMOD:724],195.029661,S[UNIMOD:723],195.029661
T[UNIMOD:724]->S[UNIMOD:1868],T[UNIMOD:724],195.029661,S[UNIMOD:1868],195.01190300000002
T[UNIMOD:724]->D[UNIMOD:21],T[UNIMOD:724],195.029661,D[UNIMOD:21],194.993271
Y[UNIMOD:425]->H[UNIMOD:1312],Y[UNIMOD:425],195.053159,H[UNIMOD:1312],195.100775
Y[UNIMOD:425]->T[UNIMOD:724],Y[UNIMOD:425],195.053159,T[UNIMOD:724],195.029661
Y[UNIMOD:425]->S[UNIMOD:726],Y[UNIMOD:425],195.053159,S[UNIMOD:726],195.029661
Y[UNIMOD:425]->S[UNIMOD:723],Y[UNIMOD:425],195.053159,S[UNIMOD:723],195.029661
Y[UNIMOD:425]->S[UNIMOD:1868],Y[UNIMOD:425],195.053159,S[UNIMOD:1868],195.01190300000002
H[UNIMOD:1312]->Y[UNIMOD:425],H[UNIMOD:1312],195.100775,Y[UNIMOD:425],195.053159
S[UNIMOD:2007]->C[UNIMOD:2008],S[UNIMOD:2007],196.00715100000002,C[UNIMOD:2008],196.007155
C[UNIMOD:2008]->S[UNIMOD:2007],C[UNIMOD:2008],196.007155,S[UNIMOD:2007],196.00715100000002
R[UNIMOD:860]->K[UNIMOD:1363],R[UNIMOD:860],196.096025,K[UNIMOD:1363],196.121175
R[UNIMOD:860]->K[UNIMOD:94],R[UNIMOD:860],196.096025,K[UNIMOD:94],196.132408
K[UNIMOD:1363]->K[UNIMOD:94],K[UNIMOD:1363],196.121175,K[UNIMOD:94],196.132408
K[UNIMOD:1363]->K[UNIMOD:520],K[UNIMOD:1363],196.121175,K[UNIMOD:520],196.15756
K[UNIMOD:1363]->R[UNIMOD:860],K[UNIMOD:1363],196.121175,R[UNIMOD:860],196.096025
K[UNIMOD:94]->K[UNIMOD:520],K[UNIMOD:94],196.132408,K[UNIMOD:520],196.15756
K[UNIMOD:94]->K[UNIMOD:1363],K[UNIMOD:94],196.132408,K[UNIMOD:1363],196.121175
K[UNIMOD:94]->R[UNIMOD:860],K[UNIMOD:94],196.132408,R[UNIMOD:860],196.096025
K[UNIMOD:520]->K[UNIMOD:94],K[UNIMOD:520],196.15756,K[UNIMOD:94],196.132408
K[UNIMOD:520]->K[UNIMOD:1363],K[UNIMOD:520],196.15756,K[UNIMOD:1363],196.121175
S[UNIMOD:1989]->T[UNIMOD:260],S[UNIMOD:1989],196.99116700000002,T[UNIMOD:260],196.99116700000002
T[UNIMOD:260]->S[UNIMOD:1989],T[UNIMOD:260],196.99116700000002,S[UNIMOD:1989],196.99116700000002
W[UNIMOD:1009]->K[UNIMOD:422],W[UNIMOD:1009],198.07931,K[UNIMOD:422],198.100439
K[UNIMOD:422]->K[UNIMOD:253],K[UNIMOD:422],198.100439,K[UNIMOD:253],198.136825
K[UNIMOD:422]->K[UNIMOD:1289],K[UNIMOD:422],198.100439,K[UNIMOD:1289],198.136825
K[UNIMOD:422]->Q[UNIMOD:801],K[UNIMOD:422],198.100439,Q[UNIMOD:801],198.13683
K[UNIMOD:422]->R[UNIMOD:37],K[UNIMOD:422],198.100439,R[UNIMOD:37],198.14806000000002
K[UNIMOD:422]->W[UNIMOD:1009],K[UNIMOD:422],198.100439,W[UNIMOD:1009],198.07931
K[UNIMOD:253]->K[UNIMOD:1289],K[UNIMOD:253],198.136825,K[UNIMOD:1289],198.136825
K[UNIMOD:253]->Q[UNIMOD:801],K[UNIMOD:253],198.136825,Q[UNIMOD:801],198.13683
K[UNIMOD:253]->R[UNIMOD:37],K[UNIMOD:253],198.136825,R[UNIMOD:37],198.14806000000002
K[UNIMOD:253]->K[UNIMOD:422],K[UNIMOD:253],198.136825,K[UNIMOD:422],198.100439
K[UNIMOD:1289]->Q[UNIMOD:801],K[UNIMOD:1289],198.136825,Q[UNIMOD:801],198.13683
K[UNIMOD:1289]->R[UNIMOD:37],K[UNIMOD:1289],198.136825,R[UNIMOD:37],198.14806000000002
K[UNIMOD:1289]->K[UNIMOD:253],K[UNIMOD:1289],198.136825,K[UNIMOD:253],198.136825
K[UNIMOD:1289]->K[UNIMOD:422],K[UNIMOD:1289],198.136825,K[UNIMOD:422],198.100439
Q[UNIMOD:801]->R[UNIMOD:37],Q[UNIMOD:801],198.13683,R[UNIMOD:37],198.14806000000002
Q[UNIMOD:801]->K[UNIMOD:1289],Q[UNIMOD:801],198.13683,K[UNIMOD:1289],198.136825
Q[UNIMOD:801]->K[UNIMOD:253],Q[UNIMOD:801],198.13683,K[UNIMOD:253],198.136825
Q[UNIMOD:801]->K[UNIMOD:422],Q[UNIMOD:801],198.13683,K[UNIMOD:422],198.100439
R[UNIMOD:37]->Q[UNIMOD:801],R[UNIMOD:37],198.14806000000002,Q[UNIMOD:801],198.13683
R[UNIMOD:37]->K[UNIMOD:1289],R[UNIMOD:37],198.14806000000002,K[UNIMOD:1289],198.136825
R[UNIMOD:37]->K[UNIMOD:253],R[UNIMOD:37],198.14806000000002,K[UNIMOD:253],198.136825
R[UNIMOD:37]->K[UNIMOD:422],R[UNIMOD:37],198.14806000000002,K[UNIMOD:422],198.100439
K[UNIMOD:24]->E[UNIMOD:2056],K[UNIMOD:24],199.132074,E[UNIMOD:2056],199.132074
K[UNIMOD:24]->Q[UNIMOD:1041],K[UNIMOD:24],199.132074,Q[UNIMOD:1041],199.132079
K[UNIMOD:24]->K[UNIMOD:1041],K[UNIMOD:24],199.132074,K[UNIMOD:1041],199.16845899999998
E[UNIMOD:2056]->Q[UNIMOD:1041],E[UNIMOD:2056],199.132074,Q[UNIMOD:1041],199.132079
E[UNIMOD:2056]->K[UNIMOD:1041],E[UNIMOD:2056],199.132074,K[UNIMOD:1041],199.16845899999998
E[UNIMOD:2056]->K[UNIMOD:24],E[UNIMOD:2056],199.132074,K[UNIMOD:24],199.132074
Q[UNIMOD:1041]->K[UNIMOD:1041],Q[UNIMOD:1041],199.132079,K[UNIMOD:1041],199.16845899999998
Q[UNIMOD:1041]->E[UNIMOD:2056],Q[UNIMOD:1041],199.132079,E[UNIMOD:2056],199.132074
Q[UNIMOD:1041]->K[UNIMOD:24],Q[UNIMOD:1041],199.132079,K[UNIMOD:24],199.132074
K[UNIMOD:1041]->Q[UNIMOD:1041],K[UNIMOD:1041],199.16845899999998,Q[UNIMOD:1041],199.132079
K[UNIMOD:1041]->E[UNIMOD:2056],K[UNIMOD:1041],199.16845899999998,E[UNIMOD:2056],199.132074
K[UNIMOD:1041]->K[UNIMOD:24],K[UNIMOD:1041],199.16845899999998,K[UNIMOD:24],199.132074
C[UNIMOD:773]->W[UNIMOD:288],C[UNIMOD:773],200.02556800000002,W[UNIMOD:288],200.058575
W[UNIMOD:288]->C[UNIMOD:773],W[UNIMOD:288],200.058575,C[UNIMOD:773],200.02556800000002
K[UNIMOD:378]->R[UNIMOD:278],K[UNIMOD:378],200.116089,R[UNIMOD:278],200.127325
K[UNIMOD:378]->K[UNIMOD:95],K[UNIMOD:378],200.116089,K[UNIMOD:95],200.157515
R[UNIMOD:278]->K[UNIMOD:95],R[UNIMOD:278],200.127325,K[UNIMOD:95],200.157515
R[UNIMOD:278]->K[UNIMOD:378],R[UNIMOD:278],200.127325,K[UNIMOD:378],200.116089
K[UNIMOD:95]->R[UNIMOD:278],K[UNIMOD:95],200.157515,R[UNIMOD:278],200.127325
K[UNIMOD:95]->K[UNIMOD:378],K[UNIMOD:95],200.157515,K[UNIMOD:378],200.116089
C[UNIMOD:1388]->K[UNIMOD:208],C[UNIMOD:1388],204.093254,K[UNIMOD:208],204.12626
K[UNIMOD:208]->C[UNIMOD:1388],K[UNIMOD:208],204.12626,C[UNIMOD:1388],204.093254
W[UNIMOD:350]->Y[UNIMOD:5],W[UNIMOD:350],206.069139,Y[UNIMOD:5],206.069144
Y[UNIMOD:5]->W[UNIMOD:350],Y[UNIMOD:5],206.069144,W[UNIMOD:350],206.069139
S[UNIMOD:729]->H[UNIMOD:253],S[UNIMOD:729],207.06604700000003,H[UNIMOD:253],207.100775
H[UNIMOD:253]->S[UNIMOD:729],H[UNIMOD:253],207.100775,S[UNIMOD:729],207.06604700000003
Y[UNIMOD:354]->K[UNIMOD:21],Y[UNIMOD:354],208.048408,K[UNIMOD:21],208.06129099999998
Y[UNIMOD:354]->S[UNIMOD:264],Y[UNIMOD:354],208.048408,S[UNIMOD:264],208.067035
Y[UNIMOD:354]->C[UNIMOD:31],Y[UNIMOD:354],208.048408,C[UNIMOD:31],208.06703900000002
Y[UNIMOD:354]->Y[UNIMOD:56],Y[UNIMOD:354],208.048408,Y[UNIMOD:56],208.092725
K[UNIMOD:21]->S[UNIMOD:264],K[UNIMOD:21],208.06129099999998,S[UNIMOD:264],208.067035
K[UNIMOD:21]->C[UNIMOD:31],K[UNIMOD:21],208.06129099999998,C[UNIMOD:31],208.06703900000002
K[UNIMOD:21]->Y[UNIMOD:56],K[UNIMOD:21],208.06129099999998,Y[UNIMOD:56],208.092725
K[UNIMOD:21]->Y[UNIMOD:354],K[UNIMOD:21],208.06129099999998,Y[UNIMOD:354],208.048408
S[UNIMOD:264]->C[UNIMOD:31],S[UNIMOD:264],208.067035,C[UNIMOD:31],208.06703900000002
S[UNIMOD:264]->Y[UNIMOD:56],S[UNIMOD:264],208.067035,Y[UNIMOD:56],208.092725
S[UNIMOD:264]->K[UNIMOD:21],S[UNIMOD:264],208.067035,K[UNIMOD:21],208.06129099999998
S[UNIMOD:264]->Y[UNIMOD:354],S[UNIMOD:264],208.067035,Y[UNIMOD:354],208.048408
C[UNIMOD:31]->Y[UNIMOD:56],C[UNIMOD:31],208.06703900000002,Y[UNIMOD:56],208.092725
C[UNIMOD:31]->S[UNIMOD:264],C[UNIMOD:31],208.06703900000002,S[UNIMOD:264],208.067035
C[UNIMOD:31]->K[UNIMOD:21],C[UNIMOD:31],208.06703900000002,K[UNIMOD:21],208.06129099999998
C[UNIMOD:31]->Y[UNIMOD:354],C[UNIMOD:31],208.06703900000002,Y[UNIMOD:354],208.048408
Y[UNIMOD:56]->C[UNIMOD:31],Y[UNIMOD:56],208.092725,C[UNIMOD:31],208.06703900000002
Y[UNIMOD:56]->S[UNIMOD:264],Y[UNIMOD:56],208.092725,S[UNIMOD:264],208.067035
Y[UNIMOD:56]->K[UNIMOD:21],Y[UNIMOD:56],208.092725,K[UNIMOD:21],208.06129099999998
Y[UNIMOD:56]->Y[UNIMOD:354],Y[UNIMOD:56],208.092725,Y[UNIMOD:354],208.048408
U[UNIMOD:6]->E[UNIMOD:21],U[UNIMOD:6],208.95911900000002,E[UNIMOD:21],209.008921
E[UNIMOD:21]->C[UNIMOD:1380],E[UNIMOD:21],209.008921,C[UNIMOD:1380],209.01803999999998
E[UNIMOD:21]->T[UNIMOD:723],E[UNIMOD:21],209.008921,T[UNIMOD:723],209.045311
E[UNIMOD:21]->T[UNIMOD:726],E[UNIMOD:21],209.008921,T[UNIMOD:726],209.045311
E[UNIMOD:21]->S[UNIMOD:363],E[UNIMOD:21],209.008921,S[UNIMOD:363],209.04531100000003
E[UNIMOD:21]->U[UNIMOD:6],E[UNIMOD:21],209.008921,U[UNIMOD:6],208.95911900000002
C[UNIMOD:1380]->T[UNIMOD:723],C[UNIMOD:1380],209.01803999999998,T[UNIMOD:723],209.045311
C[UNIMOD:1380]->T[UNIMOD:726],C[UNIMOD:1380],209.01803999999998,T[UNIMOD:726],209.045311
C[UNIMOD:1380]->S[UNIMOD:363],C[UNIMOD:1380],209.01803999999998,S[UNIMOD:363],209.04531100000003
C[UNIMOD:1380]->E[UNIMOD:21],C[UNIMOD:1380],209.01803999999998,E[UNIMOD:21],209.008921
T[UNIMOD:723]->T[UNIMOD:726],T[UNIMOD:723],209.045311,T[UNIMOD:726],209.045311
T[UNIMOD:723]->S[UNIMOD:363],T[UNIMOD:723],209.045311,S[UNIMOD:363],209.04531100000003
T[UNIMOD:723]->H[UNIMOD:378],T[UNIMOD:723],209.045311,H[UNIMOD:378],209.080039
T[UNIMOD:723]->C[UNIMOD:1380],T[UNIMOD:723],209.045311,C[UNIMOD:1380],209.01803999999998
T[UNIMOD:723]->E[UNIMOD:21],T[UNIMOD:723],209.045311,E[UNIMOD:21],209.008921
T[UNIMOD:726]->S[UNIMOD:363],T[UNIMOD:726],209.045311,S[UNIMOD:363],209.04531100000003
T[UNIMOD:726]->H[UNIMOD:378],T[UNIMOD:726],209.045311,H[UNIMOD:378],209.080039
T[UNIMOD:726]->T[UNIMOD:723],T[UNIMOD:726],209.045311,T[UNIMOD:723],209.045311
T[UNIMOD:726]->C[UNIMOD:1380],T[UNIMOD:726],209.045311,C[UNIMOD:1380],209.01803999999998
T[UNIMOD:726]->E[UNIMOD:21],T[UNIMOD:726],209.045311,E[UNIMOD:21],209.008921
S[UNIMOD:363]->H[UNIMOD:378],S[UNIMOD:363],209.04531100000003,H[UNIMOD:378],209.080039
S[UNIMOD:363]->T[UNIMOD:726],S[UNIMOD:363],209.04531100000003,T[UNIMOD:726],209.045311
S[UNIMOD:363]->T[UNIMOD:723],S[UNIMOD:363],209.04531100000003,T[UNIMOD:723],209.045311
S[UNIMOD:363]->C[UNIMOD:1380],S[UNIMOD:363],209.04531100000003,C[UNIMOD:1380],209.01803999999998
S[UNIMOD:363]->E[UNIMOD:21],S[UNIMOD:363],209.04531100000003,E[UNIMOD:21],209.008921
H[UNIMOD:378]->S[UNIMOD:363],H[UNIMOD:378],209.080039,S[UNIMOD:363],209.04531100000003
H[UNIMOD:378]->T[UNIMOD:726],H[UNIMOD:378],209.080039,T[UNIMOD:726],209.045311
H[UNIMOD:378]->T[UNIMOD:723],H[UNIMOD:378],209.080039,T[UNIMOD:723],209.045311
R[UNIMOD:319]->R[UNIMOD:859],R[UNIMOD:319],210.111675,R[UNIMOD:859],210.111675
R[UNIMOD:859]->R[UNIMOD:319],R[UNIMOD:859],210.111675,R[UNIMOD:319],210.111675
S[UNIMOD:1987]->T[UNIMOD:1989],S[UNIMOD:1987],211.006817,T[UNIMOD:1989],211.006817
S[UNIMOD:1987]->Y[UNIMOD:345],S[UNIMOD:1987],211.006817,Y[UNIMOD:345],211.048074
T[UNIMOD:1989]->Y[UNIMOD:345],T[UNIMOD:1989],211.006817,Y[UNIMOD:345],211.048074
T[UNIMOD:1989]->S[UNIMOD:1987],T[UNIMOD:1989],211.006817,S[UNIMOD:1987],211.006817
Y[UNIMOD:345]->T[UNIMOD:1989],Y[UNIMOD:345],211.048074,T[UNIMOD:1989],211.006817
Y[UNIMOD:345]->S[UNIMOD:1987],Y[UNIMOD:345],211.048074,S[UNIMOD:1987],211.006817
S[UNIMOD:426]->K[UNIMOD:1886],S[UNIMOD:426],213.13649500000002,K[UNIMOD:1886],213.14772399999998
K[UNIMOD:1886]->S[UNIMOD:426],K[UNIMOD:1886],213.14772399999998,S[UNIMOD:426],213.13649500000002
W[UNIMOD:1923]->C[UNIMOD:314],W[UNIMOD:1923],214.037839,C[UNIMOD:314],214.04121800000001
W[UNIMOD:1923]->K[UNIMOD:1882],W[UNIMOD:1923],214.037839,K[UNIMOD:1882],214.07759499999997
W[UNIMOD:1923]->C[UNIMOD:1017],W[UNIMOD:1923],214.037839,C[UNIMOD:1017],214.077604
C[UNIMOD:314]->K[UNIMOD:1882],C[UNIMOD:314],214.04121800000001,K[UNIMOD:1882],214.07759499999997
C[UNIMOD:314]->C[UNIMOD:1017],C[UNIMOD:314],214.04121800000001,C[UNIMOD:1017],214.077604
C[UNIMOD:314]->W[UNIMOD:1923],C[UNIMOD:314],214.04121800000001,W[UNIMOD:1923],214.037839
K[UNIMOD:1882]->C[UNIMOD:1017],K[UNIMOD:1882],214.07759499999997,C[UNIMOD:1017],214.077604
K[UNIMOD:1882]->K[UNIMOD:747],K[UNIMOD:1882],214.07759499999997,K[UNIMOD:747],214.095354
K[UNIMOD:1882]->Q[UNIMOD:1824],K[UNIMOD:1882],214.07759499999997,Q[UNIMOD:1824],214.095359
K[UNIMOD:1882]->C[UNIMOD:314],K[UNIMOD:1882],214.07759499999997,C[UNIMOD:314],214.04121800000001
K[UNIMOD:1882]->W[UNIMOD:1923],K[UNIMOD:1882],214.07759499999997,W[UNIMOD:1923],214.037839
C[UNIMOD:1017]->K[UNIMOD:747],C[UNIMOD:1017],214.077604,K[UNIMOD:747],214.095354
C[UNIMOD:1017]->Q[UNIMOD:1824],C[UNIMOD:1017],214.077604,Q[UNIMOD:1824],214.095359
C[UNIMOD:1017]->K[UNIMOD:1882],C[UNIMOD:1017],214.077604,K[UNIMOD:1882],214.07759499999997
C[UNIMOD:1017]->C[UNIMOD:314],C[UNIMOD:1017],214.077604,C[UNIMOD:314],214.04121800000001
C[UNIMOD:1017]->W[UNIMOD:1923],C[UNIMOD:1017],214.077604,W[UNIMOD:1923],214.037839
K[UNIMOD:747]->Q[UNIMOD:1824],K[UNIMOD:747],214.095354,Q[UNIMOD:1824],214.095359
K[UNIMOD:747]->K[UNIMOD:1849],K[UNIMOD:747],214.095354,K[UNIMOD:1849],214.13173899999998
K[UNIMOD:747]->C[UNIMOD:1017],K[UNIMOD:747],214.095354,C[UNIMOD:1017],214.077604
K[UNIMOD:747]->K[UNIMOD:1882],K[UNIMOD:747],214.095354,K[UNIMOD:1882],214.07759499999997
Q[UNIMOD:1824]->K[UNIMOD:1849],Q[UNIMOD:1824],214.095359,K[UNIMOD:1849],214.13173899999998
Q[UNIMOD:1824]->K[UNIMOD:747],Q[UNIMOD:1824],214.095359,K[UNIMOD:747],214.095354
Q[UNIMOD:1824]->C[UNIMOD:1017],Q[UNIMOD:1824],214.095359,C[UNIMOD:1017],214.077604
Q[UNIMOD:1824]->K[UNIMOD:1882],Q[UNIMOD:1824],214.095359,K[UNIMOD:1882],214.07759499999997
K[UNIMOD:1849]->Q[UNIMOD:1824],K[UNIMOD:1849],214.13173899999998,Q[UNIMOD:1824],214.095359
K[UNIMOD:1849]->K[UNIMOD:747],K[UNIMOD:1849],214.13173899999998,K[UNIMOD:747],214.095354
T[UNIMOD:121]->K[UNIMOD:324],T[UNIMOD:121],215.090607,K[UNIMOD:324],215.10922999999997
T[UNIMOD:121]->K[UNIMOD:1014],T[UNIMOD:121],215.090607,K[UNIMOD:1014],215.12698799999998
K[UNIMOD:324]->K[UNIMOD:1014],K[UNIMOD:324],215.10922999999997,K[UNIMOD:1014],215.12698799999998
K[UNIMOD:324]->T[UNIMOD:121],K[UNIMOD:324],215.10922999999997,T[UNIMOD:121],215.090607
K[UNIMOD:1014]->K[UNIMOD:379],K[UNIMOD:1014],215.12698799999998,K[UNIMOD:379],215.16337399999998
K[UNIMOD:1014]->K[UNIMOD:324],K[UNIMOD:1014],215.12698799999998,K[UNIMOD:324],215.10922999999997
K[UNIMOD:1014]->T[UNIMOD:121],K[UNIMOD:1014],215.12698799999998,T[UNIMOD:121],215.090607
K[UNIMOD:379]->K[UNIMOD:1014],K[UNIMOD:379],215.16337399999998,K[UNIMOD:1014],215.12698799999998
W[UNIMOD:392]->W[UNIMOD:1875],W[UNIMOD:392],216.05348899999998,W[UNIMOD:1875],216.089875
W[UNIMOD:392]->K[UNIMOD:126],W[UNIMOD:392],216.05348899999998,K[UNIMOD:126],216.09324499999997
W[UNIMOD:1875]->K[UNIMOD:126],W[UNIMOD:1875],216.089875,K[UNIMOD:126],216.09324499999997
W[UNIMOD:1875]->W[UNIMOD:392],W[UNIMOD:1875],216.089875,W[UNIMOD:392],216.05348899999998
K[UNIMOD:126]->W[UNIMOD:1875],K[UNIMOD:126],216.09324499999997,W[UNIMOD:1875],216.089875
K[UNIMOD:126]->W[UNIMOD:392],K[UNIMOD:126],216.09324499999997,W[UNIMOD:392],216.05348899999998
H[UNIMOD:21]->C[UNIMOD:121],H[UNIMOD:21],217.025241,C[UNIMOD:121],217.052117
C[UNIMOD:121]->H[UNIMOD:21],C[UNIMOD:121],217.052117,H[UNIMOD:21],217.025241
T[UNIMOD:959]->W[UNIMOD:421],T[UNIMOD:959],218.04564499999998,W[UNIMOD:421],218.051381
T[UNIMOD:959]->W[UNIMOD:425],T[UNIMOD:959],218.04564499999998,W[UNIMOD:425],218.069139
W[UNIMOD:421]->W[UNIMOD:425],W[UNIMOD:421],218.051381,W[UNIMOD:425],218.069139
W[UNIMOD:421]->T[UNIMOD:959],W[UNIMOD:421],218.051381,T[UNIMOD:959],218.04564499999998
W[UNIMOD:425]->W[UNIMOD:421],W[UNIMOD:425],218.069139,W[UNIMOD:421],218.051381
W[UNIMOD:425]->T[UNIMOD:959],W[UNIMOD:425],218.069139,T[UNIMOD:959],218.04564499999998
S[UNIMOD:1425]->S[UNIMOD:1310],S[UNIMOD:1425],219.07428900000002,S[UNIMOD:1310],219.089545
S[UNIMOD:1310]->S[UNIMOD:1425],S[UNIMOD:1310],219.089545,S[UNIMOD:1425],219.07428900000002
C[UNIMOD:488]->T[UNIMOD:729],C[UNIMOD:488],221.074864,T[UNIMOD:729],221.08169700000002
C[UNIMOD:488]->K[UNIMOD:2008],C[UNIMOD:488],221.074864,K[UNIMOD:2008],221.09292499999998
T[UNIMOD:729]->K[UNIMOD:2008],T[UNIMOD:729],221.08169700000002,K[UNIMOD:2008],221.09292499999998
T[UNIMOD:729]->C[UNIMOD:488],T[UNIMOD:729],221.08169700000002,C[UNIMOD:488],221.074864
K[UNIMOD:2008]->T[UNIMOD:729],K[UNIMOD:2008],221.09292499999998,T[UNIMOD:729],221.08169700000002
K[UNIMOD:2008]->C[UNIMOD:488],K[UNIMOD:2008],221.09292499999998,C[UNIMOD:488],221.074864
S[UNIMOD:1364]->T[UNIMOD:264],S[UNIMOD:1364],222.07694600000002,T[UNIMOD:264],222.082685
T[UNIMOD:264]->S[UNIMOD:1364],T[UNIMOD:264],222.082685,S[UNIMOD:1364],222.07694600000002
C[UNIMOD:1345]->S[UNIMOD:735],C[UNIMOD:1345],223.03031900000002,S[UNIMOD:735],223.033686
C[UNIMOD:1345]->C[UNIMOD:736],C[UNIMOD:1345],223.03031900000002,C[UNIMOD:736],223.03369
C[UNIMOD:1345]->C[UNIMOD:1381],C[UNIMOD:1345],223.03031900000002,C[UNIMOD:1381],223.03369
C[UNIMOD:1345]->S[UNIMOD:725],C[UNIMOD:1345],223.03031900000002,S[UNIMOD:725],223.06096100000002
C[UNIMOD:1345]->T[UNIMOD:363],C[UNIMOD:1345],223.03031900000002,T[UNIMOD:363],223.06096100000002
S[UNIMOD:735]->C[UNIMOD:736],S[UNIMOD:735],223.033686,C[UNIMOD:736],223.03369
S[UNIMOD:735]->C[UNIMOD:1381],S[UNIMOD:735],223.033686,C[UNIMOD:1381],223.03369
S[UNIMOD:735]->S[UNIMOD:725],S[UNIMOD:735],223.033686,S[UNIMOD:725],223.06096100000002
S[UNIMOD:735]->T[UNIMOD:363],S[UNIMOD:735],223.033686,T[UNIMOD:363],223.06096100000002
S[UNIMOD:735]->C[UNIMOD:1345],S[UNIMOD:735],223.033686,C[UNIMOD:1345],223.03031900000002
C[UNIMOD:736]->C[UNIMOD:1381],C[UNIMOD:736],223.03369,C[UNIMOD:1381],223.03369
C[UNIMOD:736]->S[UNIMOD:725],C[UNIMOD:736],223.03369,S[UNIMOD:725],223.06096100000002
C[UNIMOD:736]->T[UNIMOD:363],C[UNIMOD:736],223.03369,T[UNIMOD:363],223.06096100000002
C[UNIMOD:736]->S[UNIMOD:735],C[UNIMOD:736],223.03369,S[UNIMOD:735],223.033686
C[UNIMOD:736]->C[UNIMOD:1345],C[UNIMOD:736],223.03369,C[UNIMOD:1345],223.03031900000002
C[UNIMOD:1381]->S[UNIMOD:725],C[UNIMOD:1381],223.03369,S[UNIMOD:725],223.06096100000002
C[UNIMOD:1381]->T[UNIMOD:363],C[UNIMOD:1381],223.03369,T[UNIMOD:363],223.06096100000002
C[UNIMOD:1381]->C[UNIMOD:736],C[UNIMOD:1381],223.03369,C[UNIMOD:736],223.03369
C[UNIMOD:1381]->S[UNIMOD:735],C[UNIMOD:1381],223.03369,S[UNIMOD:735],223.033686
C[UNIMOD:1381]->C[UNIMOD:1345],C[UNIMOD:1381],223.03369,C[UNIMOD:1345],223.03031900000002
S[UNIMOD:725]->T[UNIMOD:363],S[UNIMOD:725],223.06096100000002,T[UNIMOD:363],223.06096100000002
S[UNIMOD:725]->C[UNIMOD:1381],S[UNIMOD:725],223.06096100000002,C[UNIMOD:1381],223.03369
S[UNIMOD:725]->C[UNIMOD:736],S[UNIMOD:725],223.06096100000002,C[UNIMOD:736],223.03369
S[UNIMOD:725]->S[UNIMOD:735],S[UNIMOD:725],223.06096100000002,S[UNIMOD:735],223.033686
S[UNIMOD:725]->C[UNIMOD:1345],S[UNIMOD:725],223.06096100000002,C[UNIMOD:1345],223.03031900000002
T[UNIMOD:363]->S[UNIMOD:725],T[UNIMOD:363],223.06096100000002,S[UNIMOD:725],223.06096100000002
T[UNIMOD:363]->C[UNIMOD:1381],T[UNIMOD:363],223.06096100000002,C[UNIMOD:1381],223.03369
T[UNIMOD:363]->C[UNIMOD:736],T[UNIMOD:363],223.06096100000002,C[UNIMOD:736],223.03369
T[UNIMOD:363]->S[UNIMOD:735],T[UNIMOD:363],223.06096100000002,S[UNIMOD:735],223.033686
T[UNIMOD:363]->C[UNIMOD:1345],T[UNIMOD:363],223.06096100000002,C[UNIMOD:1345],223.03031900000002
