,Fragment_selected,Monoisotopic_mass_fragment,Fragment_collision,Monoisotopic_mass_collision
R[UNIMOD:35]->E[UNIMOD:734],R[UNIMOD:35],172.096025,E[UNIMOD:734],172.084789
R[UNIMOD:35]->K[UNIMOD:299],R[UNIMOD:35],172.096025,K[UNIMOD:299],172.084789
K[UNIMOD:1372]->K[UNIMOD:278],K[UNIMOD:1372],172.112234,K[UNIMOD:278],172.121175
K[UNIMOD:1372]->R[UNIMOD:35],K[UNIMOD:1372],172.112234,R[UNIMOD:35],172.096025
K[UNIMOD:1372]->Y[UNIMOD:184],K[UNIMOD:1372],172.112234,Y[UNIMOD:184],172.093523
K[UNIMOD:1372]->E[UNIMOD:734],K[UNIMOD:1372],172.112234,E[UNIMOD:734],172.084789
K[UNIMOD:1372]->K[UNIMOD:299],K[UNIMOD:1372],172.112234,K[UNIMOD:299],172.084789
K[UNIMOD:278]->K[UNIMOD:1372],K[UNIMOD:278],172.121175,K[UNIMOD:1372],172.112234
K[UNIMOD:278]->R[UNIMOD:35],K[UNIMOD:278],172.121175,R[UNIMOD:35],172.096025
K[UNIMOD:278]->Y[UNIMOD:184],K[UNIMOD:278],172.121175,Y[UNIMOD:184],172.093523
K[UNIMOD:278]->E[UNIMOD:734],K[UNIMOD:278],172.121175,E[UNIMOD:734],172.084789
K[UNIMOD:278]->K[UNIMOD:299],K[UNIMOD:278],172.121175,K[UNIMOD:299],172.084789
C[UNIMOD:422]->E[UNIMOD:299],C[UNIMOD:422],173.014669,E[UNIMOD:299],173.032419
C[UNIMOD:422]->S[UNIMOD:747],C[UNIMOD:422],173.014669,S[UNIMOD:747],173.032424
C[UNIMOD:422]->C[UNIMOD:253],C[UNIMOD:422],173.014669,C[UNIMOD:253],173.05105500000002
E[UNIMOD:299]->S[UNIMOD:747],E[UNIMOD:299],173.032419,S[UNIMOD:747],173.032424
E[UNIMOD:299]->C[UNIMOD:253],E[UNIMOD:299],173.032419,C[UNIMOD:253],173.05105500000002
E[UNIMOD:299]->C[UNIMOD:422],E[UNIMOD:299],173.032419,C[UNIMOD:422],173.014669
S[UNIMOD:747]->C[UNIMOD:253],S[UNIMOD:747],173.032424,C[UNIMOD:253],173.05105500000002
S[UNIMOD:747]->E[UNIMOD:299],S[UNIMOD:747],173.032424,E[UNIMOD:299],173.032419
S[UNIMOD:747]->C[UNIMOD:422],S[UNIMOD:747],173.032424,C[UNIMOD:422],173.014669
C[UNIMOD:253]->S[UNIMOD:747],C[UNIMOD:253],173.05105500000002,S[UNIMOD:747],173.032424
C[UNIMOD:253]->E[UNIMOD:299],C[UNIMOD:253],173.05105500000002,E[UNIMOD:299],173.032419
C[UNIMOD:253]->C[UNIMOD:422],C[UNIMOD:253],173.05105500000002,C[UNIMOD:422],173.014669
K[UNIMOD:56]->R[UNIMOD:298],K[UNIMOD:56],173.12435499999998,R[UNIMOD:298],173.13559
R[UNIMOD:298]->K[UNIMOD:56],R[UNIMOD:298],173.13559,K[UNIMOD:56],173.12435499999998
S[UNIMOD:178]->C[UNIMOD:1846],S[UNIMOD:178],174.08268500000003,C[UNIMOD:1846],174.08268900000002
S[UNIMOD:178]->K[UNIMOD:834],S[UNIMOD:178],174.08268500000003,K[UNIMOD:834],174.130632
C[UNIMOD:1846]->K[UNIMOD:834],C[UNIMOD:1846],174.08268900000002,K[UNIMOD:834],174.130632
C[UNIMOD:1846]->S[UNIMOD:178],C[UNIMOD:1846],174.08268900000002,S[UNIMOD:178],174.08268500000003
K[UNIMOD:834]->R[UNIMOD:329],K[UNIMOD:834],174.130632,R[UNIMOD:329],174.138945
K[UNIMOD:834]->C[UNIMOD:1846],K[UNIMOD:834],174.130632,C[UNIMOD:1846],174.08268900000002
K[UNIMOD:834]->S[UNIMOD:178],K[UNIMOD:834],174.130632,S[UNIMOD:178],174.08268500000003
R[UNIMOD:329]->K[UNIMOD:834],R[UNIMOD:329],174.138945,K[UNIMOD:834],174.130632
M[UNIMOD:299]->Y[UNIMOD:1009],M[UNIMOD:299],175.03031900000002,Y[UNIMOD:1009],175.06333
Y[UNIMOD:1009]->M[UNIMOD:299],Y[UNIMOD:1009],175.06333,M[UNIMOD:299],175.03031900000002
T[UNIMOD:200]->C[UNIMOD:97],T[UNIMOD:200],177.028207,C[UNIMOD:97],177.065134
C[UNIMOD:97]->H[UNIMOD:256],C[UNIMOD:97],177.065134,H[UNIMOD:256],177.09021
C[UNIMOD:97]->T[UNIMOD:200],C[UNIMOD:97],177.065134,T[UNIMOD:200],177.028207
H[UNIMOD:256]->C[UNIMOD:97],H[UNIMOD:256],177.09021,C[UNIMOD:97],177.065134
Y[UNIMOD:342]->R[UNIMOD:1913],Y[UNIMOD:342],178.074229,R[UNIMOD:1913],178.08546
Y[UNIMOD:342]->K[UNIMOD:836],Y[UNIMOD:342],178.074229,K[UNIMOD:836],178.119724
R[UNIMOD:1913]->K[UNIMOD:836],R[UNIMOD:1913],178.08546,K[UNIMOD:836],178.119724
R[UNIMOD:1913]->Y[UNIMOD:342],R[UNIMOD:1913],178.08546,Y[UNIMOD:342],178.074229
K[UNIMOD:836]->R[UNIMOD:1913],K[UNIMOD:836],178.119724,R[UNIMOD:1913],178.08546
K[UNIMOD:836]->Y[UNIMOD:342],K[UNIMOD:836],178.119724,Y[UNIMOD:342],178.074229
C[UNIMOD:303]->T[UNIMOD:728],C[UNIMOD:303],179.007475,T[UNIMOD:728],179.03474599999998
T[UNIMOD:728]->F[UNIMOD:425],T[UNIMOD:728],179.03474599999998,F[UNIMOD:425],179.05823900000001
T[UNIMOD:728]->Y[UNIMOD:35],T[UNIMOD:728],179.03474599999998,Y[UNIMOD:35],179.058245
T[UNIMOD:728]->H[UNIMOD:1],T[UNIMOD:728],179.03474599999998,H[UNIMOD:1],179.069475
T[UNIMOD:728]->C[UNIMOD:303],T[UNIMOD:728],179.03474599999998,C[UNIMOD:303],179.007475
F[UNIMOD:425]->Y[UNIMOD:35],F[UNIMOD:425],179.05823900000001,Y[UNIMOD:35],179.058245
F[UNIMOD:425]->H[UNIMOD:1],F[UNIMOD:425],179.05823900000001,H[UNIMOD:1],179.069475
F[UNIMOD:425]->T[UNIMOD:728],F[UNIMOD:425],179.05823900000001,T[UNIMOD:728],179.03474599999998
Y[UNIMOD:35]->H[UNIMOD:1],Y[UNIMOD:35],179.058245,H[UNIMOD:1],179.069475
Y[UNIMOD:35]->F[UNIMOD:425],Y[UNIMOD:35],179.058245,F[UNIMOD:425],179.05823900000001
